Product_Category,Supplier_Region,Shipping_Mode,Warehouse_Type,Order_Quantity,Distance_km,Supplier_Lead_Time_days,Transportation_Cost,Inventory_Level,Demand_Forecast,Supplier_Reliability_Score,Historical_Delay_Rate,Delivery_Time_days,Delivery_Status
Electronics,Europe,Road,Cross-Dock,294.0,5953.1,13.0,6257.99,569.0,451.0,88.7,0.139,33.2,On Time
Electronics,East Asia,Sea,Hybrid,183.0,9670.5,22.0,2200.05,195.0,196.0,90.3,0.033,64.4,Severely Delayed
Industrial Equipment,East Asia,Sea,Hybrid,70.0,10773.0,26.0,1076.83,78.0,77.0,71.5,0.12,83.8,Severely Delayed
Perishable Food,Europe,Road,Cross-Dock,2033.0,5444.7,12.0,36946.67,1819.0,2161.0,94.8,0.05,30.0,On Time
Apparel,Southeast Asia,Road,Automated,974.0,11506.8,16.0,34069.39,756.0,856.0,82.8,0.057,65.4,Severely Delayed
Perishable Food,Europe,Air,Hybrid,1278.0,7714.1,2.0,100090.59,1405.0,1253.0,84.8,0.173,8.9,On Time
Furniture,Europe,Rail,Manual,125.0,6082.0,11.0,1584.15,116.0,144.0,85.8,0.159,28.3,On Time
Industrial Equipment,Europe,Road,Cross-Dock,104.0,6225.3,11.0,2020.5,106.0,118.0,90.0,0.064,32.6,On Time
Apparel,Europe,Road,Cross-Dock,204.0,8736.7,4.0,6323.88,205.0,212.0,94.0,0.055,34.7,Delayed
Industrial Equipment,Europe,Road,Hybrid,63.0,6084.9,11.0,1506.81,39.0,63.0,75.7,0.203,33.2,On Time
Electronics,Europe,Road,Hybrid,300.0,5947.6,9.0,6738.55,182.0,279.0,85.2,0.12,30.4,On Time
Pharmaceuticals,East Asia,Road,Hybrid,207.0,11459.9,22.0,7384.95,180.0,220.0,84.6,0.072,74.4,Severely Delayed
Furniture,East Asia,Sea,Automated,227.0,7105.0,25.0,2022.33,214.0,325.0,82.4,0.062,55.3,Delayed
Electronics,South Asia,Sea,Manual,105.0,7098.5,22.0,1101.05,99.0,103.0,,0.064,51.6,Delayed
Electronics,North America,Rail,Automated,310.0,3553.0,9.0,2576.6,262.0,326.0,80.2,0.133,19.5,On Time
Perishable Food,Europe,Air,Hybrid,1135.0,5676.7,1.0,63421.48,779.0,1150.0,85.0,0.067,5.6,Early
Industrial Equipment,South Asia,Sea,Hybrid,74.0,5171.0,20.0,696.15,47.0,61.0,71.6,0.217,48.8,Delayed
Pharmaceuticals,East Asia,Road,Hybrid,254.0,9618.2,17.0,9560.71,281.0,211.0,76.6,0.151,57.8,Severely Delayed
Industrial Equipment,Europe,Rail,Automated,20.0,7305.2,9.0,514.47,19.0,23.0,94.6,0.01,29.2,On Time
Automotive Parts,East Asia,Sea,Hybrid,570.0,8338.8,22.0,5998.01,648.0,618.0,79.7,0.08,56.7,Delayed
Perishable Food,Southeast Asia,Rail,Manual,347.0,6458.6,21.0,4559.97,356.0,381.0,70.9,0.054,55.4,Severely Delayed
Automotive Parts,East Asia,Rail,Cross-Dock,195.0,11647.9,23.0,5300.33,192.0,269.0,93.8,0.062,66.2,Severely Delayed
Electronics,South Asia,Road,Cross-Dock,676.0,7884.5,9.0,18760.69,704.0,670.0,76.7,0.166,36.7,Delayed
Electronics,South Asia,Sea,Manual,423.0,6731.1,22.0,3631.78,136.0,,75.0,0.121,49.7,Delayed
Automotive Parts,South Asia,Sea,Hybrid,297.0,8393.4,19.0,2634.64,79.0,263.0,73.2,0.181,54.5,Delayed
Automotive Parts,East Asia,Sea,Automated,1387.0,9913.4,27.0,14488.83,853.0,1586.0,78.0,0.153,74.6,Severely Delayed
Apparel,East Asia,Sea,Automated,560.0,12559.6,25.0,7545.43,608.0,602.0,77.0,0.129,87.3,Severely Delayed
Pharmaceuticals,South Asia,Road,Hybrid,114.0,8060.8,19.0,3026.76,184.0,147.0,67.0,0.182,54.2,Delayed
Pharmaceuticals,South Asia,Air,Hybrid,52.0,5398.7,9.0,2922.06,60.0,67.0,72.0,0.218,14.5,On Time
Automotive Parts,Europe,Sea,Automated,843.0,5729.3,13.0,6903.16,203.0,747.0,78.9,0.116,35.4,On Time
Pharmaceuticals,East Asia,Sea,,426.0,8455.4,23.0,4077.07,557.0,521.0,87.4,0.01,59.0,Delayed
Perishable Food,South Asia,Air,Manual,1069.0,7601.2,10.0,74077.28,831.0,1195.0,70.0,0.22,20.3,On Time
Apparel,East Asia,Sea,Automated,400.0,8981.0,24.0,4423.59,278.0,387.0,87.1,0.076,63.1,Delayed
Perishable Food,Latin America,Air,Manual,1516.0,7014.4,12.0,97308.5,1305.0,1496.0,67.0,0.177,21.5,On Time
Furniture,Southeast Asia,Air,Manual,206.0,9069.6,11.0,19924.5,179.0,176.0,78.3,0.072,22.4,On Time
Automotive Parts,Latin America,Sea,Cross-Dock,29.0,10384.2,19.0,606.11,13.0,20.0,63.6,0.194,65.1,Severely Delayed
Perishable Food,Latin America,Road,Manual,449.0,8637.3,13.0,12323.28,375.0,493.0,68.2,0.109,46.6,Delayed
Apparel,South Asia,Road,Automated,1214.0,7471.5,11.0,28577.75,1633.0,1763.0,70.9,0.155,39.8,Delayed
Apparel,Europe,Sea,Automated,233.0,5368.0,10.0,1747.41,355.0,293.0,89.5,0.047,28.8,On Time
Furniture,South Asia,Air,Automated,101.0,6522.8,14.0,7033.05,154.0,127.0,66.5,0.175,18.6,Early
Automotive Parts,Southeast Asia,Rail,Hybrid,418.0,7489.1,14.0,7096.24,332.0,550.0,84.7,0.106,35.1,On Time
Electronics,South Asia,Sea,Manual,215.0,7923.9,26.0,2065.57,229.0,234.0,73.9,0.138,60.7,Delayed
Electronics,South Asia,Road,Automated,436.0,7531.8,14.0,10192.93,489.0,651.0,73.6,0.123,44.1,Delayed
Pharmaceuticals,Latin America,Road,Cross-Dock,145.0,8277.8,13.0,4167.39,145.0,144.0,63.3,0.168,46.0,Delayed
Electronics,Southeast Asia,Sea,Hybrid,169.0,7654.8,23.0,1874.54,78.0,176.0,77.8,0.081,55.1,Delayed
Automotive Parts,Latin America,Sea,Automated,137.0,5683.0,22.0,1174.03,145.0,163.0,78.6,0.156,45.2,On Time
Apparel,East Asia,Rail,Automated,217.0,12246.0,18.0,5637.5,143.0,161.0,76.4,0.166,63.1,Severely Delayed
Electronics,East Asia,Sea,Hybrid,752.0,5933.9,24.0,5127.23,1294.0,711.0,78.4,0.141,47.9,On Time
Industrial Equipment,South Asia,Sea,Hybrid,119.0,7746.8,22.0,1116.3,156.0,144.0,72.4,0.151,62.6,Severely Delayed
Electronics,South Asia,Sea,Cross-Dock,419.0,7248.9,23.0,3922.57,230.0,496.0,72.1,0.208,52.5,Delayed
Apparel,North America,Road,Automated,660.0,3332.6,5.0,6536.89,487.0,740.0,84.3,0.086,14.6,On Time
Electronics,South Asia,Air,Hybrid,1236.0,7189.4,9.0,88029.56,1669.0,1739.0,76.4,0.207,17.9,On Time
Electronics,Southeast Asia,Road,Automated,693.0,7221.4,14.0,16353.46,584.0,742.0,83.0,0.083,41.9,Delayed
Electronics,East Asia,Road,Manual,894.0,10616.3,13.0,35684.66,182.0,900.0,81.6,0.082,57.6,Severely Delayed
Electronics,Europe,Sea,Hybrid,389.0,4963.1,15.0,2574.57,319.0,337.0,82.6,0.064,32.2,On Time
Electronics,Southeast Asia,Air,Hybrid,210.0,8683.9,10.0,17423.12,153.0,172.0,69.3,0.196,22.1,On Time
Electronics,North America,Sea,Automated,163.0,3073.0,10.0,814.63,44.0,240.0,99.0,0.01,18.8,Early
Pharmaceuticals,South Asia,Road,Automated,123.0,6646.7,14.0,2619.14,114.0,138.0,71.3,0.099,39.4,Delayed
Furniture,East Asia,Sea,Hybrid,77.0,8816.2,23.0,1014.86,53.0,68.0,85.0,0.109,61.3,Delayed
Perishable Food,East Asia,Air,Automated,1009.0,9217.2,12.0,83775.92,1194.0,1057.0,72.0,0.093,21.7,On Time
Apparel,Europe,Road,Manual,757.0,7087.5,10.0,15342.79,818.0,719.0,83.5,0.09,34.7,Delayed
Perishable Food,North America,Road,Automated,816.0,3477.4,6.0,10175.03,1148.0,893.0,96.5,0.034,15.8,On Time
Automotive Parts,East Asia,Sea,Automated,306.0,11095.4,26.0,3928.78,170.0,291.0,76.7,0.109,78.9,Severely Delayed
Automotive Parts,Latin America,Sea,Hybrid,153.0,10455.1,25.0,1984.77,261.0,172.0,67.0,0.2,74.3,Severely Delayed
Electronics,Europe,Road,Automated,1263.0,6861.3,11.0,23970.35,563.0,1601.0,90.1,0.069,34.9,On Time
Electronics,Southeast Asia,Road,Manual,109.0,9207.5,10.0,3237.13,75.0,97.0,72.0,0.115,44.7,Delayed
Apparel,South Asia,Air,Hybrid,1826.0,9824.3,9.0,172088.76,748.0,1823.0,77.3,0.175,21.8,On Time
Apparel,Latin America,Sea,Automated,551.0,6561.3,23.0,4008.54,277.0,604.0,68.0,0.115,50.6,Delayed
Pharmaceuticals,East Asia,Sea,Hybrid,200.0,11340.2,23.0,2565.34,165.0,164.0,81.4,0.073,75.4,Severely Delayed
Perishable Food,East Asia,Road,Manual,581.0,12141.7,16.0,22306.74,598.0,694.0,85.9,0.055,69.5,Severely Delayed
Electronics,Southeast Asia,Sea,Hybrid,,8840.1,22.0,5921.45,557.0,645.0,73.2,0.01,59.5,Delayed
Apparel,Southeast Asia,Road,Hybrid,312.0,11010.4,13.0,12035.06,318.0,394.0,68.5,0.087,64.4,Severely Delayed
Pharmaceuticals,North America,Sea,Hybrid,260.0,4617.5,16.0,1717.58,312.0,294.0,87.4,0.061,32.9,On Time
Electronics,East Asia,Sea,Manual,530.0,8923.7,24.0,5444.35,426.0,614.0,76.0,0.188,64.9,Severely Delayed
Automotive Parts,South Asia,Sea,Hybrid,59.0,6862.5,28.0,659.7,72.0,58.0,71.0,0.143,57.2,Delayed
Electronics,Europe,,Hybrid,244.0,7120.8,7.0,5437.21,345.0,319.0,88.0,0.071,31.2,On Time
Industrial Equipment,Southeast Asia,Road,Manual,262.0,7278.8,12.0,6725.76,235.0,388.0,76.0,0.127,38.7,Delayed
Electronics,South Asia,Sea,Automated,228.0,10713.7,20.0,2709.71,273.0,268.0,79.4,0.01,67.5,Severely Delayed
Automotive Parts,East Asia,Rail,Automated,213.0,10848.9,17.0,5292.71,260.0,320.0,77.3,0.182,55.8,Severely Delayed
Industrial Equipment,Europe,Sea,Automated,53.0,6554.4,17.0,714.28,97.0,75.0,87.9,0.073,42.2,On Time
Industrial Equipment,Europe,Sea,Automated,300.0,4850.1,12.0,1984.05,295.0,283.0,96.2,0.04,27.7,On Time
Automotive Parts,South Asia,Sea,Cross-Dock,1153.0,7526.5,19.0,10093.85,868.0,945.0,75.9,0.172,51.5,Delayed
Automotive Parts,North America,Air,Cross-Dock,395.0,2753.0,2.0,11304.49,277.0,367.0,95.7,0.058,4.2,Early
Furniture,Latin America,Sea,Automated,247.0,10003.7,15.0,3073.37,277.0,238.0,71.7,0.125,58.9,Severely Delayed
Automotive Parts,East Asia,Rail,Cross-Dock,390.0,5221.2,15.0,4330.3,478.0,392.0,86.8,0.046,30.3,On Time
Electronics,North America,Road,Hybrid,393.0,4371.7,5.0,5715.04,196.0,379.0,88.9,0.057,18.0,On Time
Pharmaceuticals,North America,Road,Manual,328.0,,6.0,3224.95,323.0,390.0,81.5,0.101,16.8,On Time
Perishable Food,North America,Air,Cross-Dock,1676.0,2434.2,1.0,33411.27,1207.0,1793.0,93.9,0.075,2.8,Early
Automotive Parts,Southeast Asia,Sea,Hybrid,295.0,8175.8,22.0,2886.26,186.0,343.0,78.2,0.125,56.4,Delayed
Perishable Food,North America,Sea,Hybrid,491.0,3510.6,10.0,2050.2,700.0,538.0,90.2,0.057,21.7,On Time
Perishable Food,North America,Air,Automated,1375.0,3459.5,5.0,40823.53,1048.0,1642.0,84.3,0.028,3.4,Early
Furniture,East Asia,Road,Automated,46.0,11859.3,19.0,1718.75,98.0,61.0,91.3,0.013,71.2,Severely Delayed
Apparel,Europe,Sea,Cross-Dock,612.0,6945.6,13.0,4834.39,390.0,568.0,92.8,0.01,39.0,Delayed
Electronics,East Asia,Sea,Automated,324.0,10861.3,24.0,3910.27,350.0,427.0,78.2,0.105,74.3,Severely Delayed
Perishable Food,East Asia,Road,Automated,193.0,9074.7,12.0,5738.67,178.0,173.0,90.5,0.054,45.2,Delayed
Perishable Food,North America,Air,Automated,496.0,3769.0,3.0,16379.4,808.0,584.0,98.2,0.021,1.0,Early
Apparel,North America,Road,Manual,626.0,2675.7,2.0,5180.12,354.0,727.0,88.8,0.076,9.2,Early
Apparel,Latin America,Road,Manual,23.0,9208.8,12.0,786.75,44.0,32.0,66.9,0.163,49.0,Delayed
Apparel,Europe,Sea,Cross-Dock,1215.0,5612.9,14.0,6772.68,647.0,1138.0,90.8,0.07,34.8,On Time
Apparel,Southeast Asia,Air,Manual,303.0,10147.8,7.0,26170.46,57.0,261.0,74.8,0.15,19.4,On Time
Apparel,South Asia,Sea,Cross-Dock,1001.0,7297.9,20.0,9090.56,656.0,1289.0,90.2,0.047,48.8,Delayed
Furniture,North America,Road,Hybrid,79.0,3917.6,6.0,1164.35,49.0,99.0,83.8,0.125,18.9,On Time
Apparel,Latin America,Air,Manual,2056.0,9215.5,8.0,171151.56,1682.0,1900.0,81.4,0.087,17.9,On Time
Industrial Equipment,South Asia,Road,Automated,74.0,9541.0,17.0,2106.35,64.0,77.0,71.6,0.084,57.7,Severely Delayed
Industrial Equipment,Southeast Asia,Sea,Automated,126.0,5896.9,23.0,1008.98,68.0,161.0,74.6,0.092,47.8,Delayed
Perishable Food,North America,Air,Cross-Dock,632.0,3428.3,1.0,19554.26,286.0,390.0,84.9,0.063,2.7,Early
Apparel,East Asia,Sea,Hybrid,1698.0,7858.3,23.0,15394.77,1158.0,1929.0,82.7,0.093,55.4,Delayed
Pharmaceuticals,North America,Sea,Manual,1127.0,2208.7,11.0,2861.29,1187.0,1103.0,84.8,0.057,30.3,Delayed
Automotive Parts,East Asia,Sea,Cross-Dock,198.0,7747.2,23.0,2023.18,224.0,268.0,80.6,0.082,56.7,Delayed
Furniture,East Asia,Sea,Hybrid,72.0,11504.2,28.0,1159.4,85.0,92.0,74.4,0.125,84.0,Severely Delayed
Automotive Parts,East Asia,Road,Automated,329.0,9448.4,17.0,10758.54,353.0,480.0,70.0,0.085,56.7,Severely Delayed
Pharmaceuticals,East Asia,Road,Hybrid,575.0,9124.2,13.0,17476.67,191.0,529.0,80.6,0.01,47.5,Delayed
Furniture,South Asia,Sea,Hybrid,44.0,8202.5,20.0,685.07,31.0,32.0,81.8,0.09,53.5,Delayed
Apparel,Southeast Asia,Road,Hybrid,242.0,8370.4,13.0,6607.88,280.0,267.0,77.5,0.245,52.6,Severely Delayed
Furniture,South Asia,Sea,Automated,40.0,7994.9,23.0,597.02,24.0,42.0,72.9,0.106,57.6,Delayed
Apparel,Southeast Asia,Sea,Automated,183.0,8676.5,26.0,2125.5,105.0,151.0,91.6,0.057,65.2,Delayed
Furniture,North America,Road,Manual,60.0,3841.9,7.0,867.0,41.0,65.0,76.0,0.172,21.3,On Time
Automotive Parts,East Asia,,Automated,435.0,8731.0,17.0,12458.25,171.0,415.0,83.7,0.185,52.7,Delayed
Electronics,East Asia,Sea,Automated,1775.0,11290.5,22.0,23141.11,1140.0,2091.0,76.7,0.111,74.0,Severely Delayed
Pharmaceuticals,Latin America,Rail,Hybrid,79.0,6880.0,19.0,1427.52,35.0,65.0,72.2,0.233,43.9,Delayed
Electronics,North America,Air,Manual,381.0,3445.8,1.0,12665.84,316.0,481.0,85.2,0.01,2.3,Early
Furniture,Latin America,Road,Automated,167.0,10537.5,9.0,6227.47,148.0,184.0,67.9,0.092,51.3,Severely Delayed
Electronics,South Asia,Road,Hybrid,305.0,7000.3,16.0,5689.88,445.0,374.0,75.6,0.084,43.0,Delayed
Industrial Equipment,Europe,Road,Automated,83.0,5995.9,5.0,1777.91,54.0,84.0,86.8,0.102,24.6,On Time
Electronics,Europe,Rail,Manual,254.0,9177.5,12.0,5632.18,199.0,201.0,83.6,0.048,40.4,Delayed
Industrial Equipment,Latin America,Road,Hybrid,41.0,11047.0,12.0,1692.36,41.0,45.0,63.9,0.232,60.8,Severely Delayed
Automotive Parts,East Asia,Sea,Cross-Dock,309.0,9742.2,23.0,3309.86,312.0,311.0,86.5,0.108,66.5,Severely Delayed
Pharmaceuticals,Latin America,Sea,Automated,501.0,7262.8,13.0,4052.35,509.0,592.0,70.5,0.256,44.0,Delayed
Automotive Parts,South Asia,Air,Cross-Dock,656.0,4562.5,14.0,31134.64,424.0,694.0,66.5,0.148,20.4,On Time
Automotive Parts,Southeast Asia,Sea,Cross-Dock,373.0,9246.0,18.0,4785.45,396.0,402.0,65.7,0.182,57.0,Delayed
Industrial Equipment,North America,Road,Hybrid,24.0,4297.5,3.0,463.04,16.0,23.0,91.6,0.04,14.2,On Time
Apparel,North America,Rail,Cross-Dock,149.0,3749.3,7.0,1685.14,156.0,197.0,88.1,0.101,15.9,Early
Pharmaceuticals,South Asia,Sea,Automated,182.0,4982.9,22.0,1241.53,134.0,176.0,74.9,0.15,42.4,On Time
Electronics,Southeast Asia,Sea,Automated,551.0,8436.6,27.0,5887.86,830.0,477.0,91.1,0.021,64.1,Delayed
Pharmaceuticals,East Asia,Sea,Hybrid,340.0,8667.5,20.0,3271.83,456.0,430.0,86.8,0.042,56.0,Delayed
Electronics,North America,Road,Manual,468.0,3601.8,,5726.76,204.0,398.0,89.7,0.026,14.2,On Time
Pharmaceuticals,North America,Road,Manual,70.0,4724.4,7.0,1075.09,65.0,73.0,79.9,0.089,22.6,On Time
Pharmaceuticals,Europe,Road,Automated,437.0,7423.6,7.0,11036.02,555.0,424.0,97.7,0.031,30.3,On Time
Perishable Food,North America,Air,Automated,1147.0,3862.9,1.0,38407.17,900.0,1300.0,90.4,0.058,1.0,Early
Pharmaceuticals,Europe,Road,Automated,113.0,6446.9,14.0,2276.23,79.0,92.0,99.0,0.01,36.4,On Time
Automotive Parts,North America,Sea,Automated,773.0,3761.1,12.0,3842.77,742.0,931.0,85.1,0.07,25.1,On Time
Automotive Parts,Europe,Sea,Cross-Dock,167.0,5654.1,19.0,1347.16,108.0,169.0,80.2,0.129,40.7,On Time
Perishable Food,Europe,Road,Automated,1245.0,7149.3,10.0,26824.2,891.0,1077.0,,0.036,33.8,On Time
Pharmaceuticals,Europe,Air,Hybrid,142.0,6273.8,6.0,8048.29,248.0,201.0,89.5,0.086,12.1,On Time
Industrial Equipment,Southeast Asia,Sea,Automated,59.0,6986.4,21.0,658.45,32.0,59.0,83.4,0.1,48.8,Delayed
Electronics,North America,Sea,Manual,503.0,4013.5,8.0,2368.77,401.0,513.0,82.6,0.084,21.0,On Time
Electronics,East Asia,Sea,Cross-Dock,390.0,5684.0,27.0,2566.51,434.0,467.0,74.6,0.09,47.2,On Time
Electronics,Europe,Road,Automated,345.0,5862.8,9.0,6799.54,464.0,340.0,81.8,0.081,28.5,On Time
Furniture,East Asia,Road,Automated,60.0,10548.8,18.0,2178.41,39.0,71.0,65.3,0.25,66.0,Severely Delayed
Perishable Food,East Asia,Air,Hybrid,536.0,11594.0,13.0,52130.51,844.0,705.0,78.9,0.169,29.7,Delayed
Automotive Parts,Southeast Asia,Road,Automated,234.0,8896.2,12.0,6252.01,131.0,235.0,64.8,0.258,49.5,Delayed
Furniture,South Asia,Road,Automated,247.0,6329.0,18.0,5845.63,323.0,230.0,74.5,0.146,42.0,Delayed
Apparel,North America,Air,Cross-Dock,2286.0,3467.9,2.0,76805.81,1761.0,2046.0,89.4,0.025,4.7,Early
Industrial Equipment,Latin America,Road,Manual,36.0,9261.4,8.0,1266.34,40.0,31.0,66.6,0.1,43.7,Delayed
Automotive Parts,East Asia,Road,Hybrid,1107.0,12168.5,17.0,43110.27,999.0,1009.0,85.1,0.108,69.2,Severely Delayed
Apparel,East Asia,Sea,Automated,287.0,11074.2,23.0,3427.88,238.0,398.0,83.0,0.035,74.2,Severely Delayed
Apparel,East Asia,Sea,Automated,833.0,11086.8,17.0,10731.17,1159.0,1109.0,90.0,0.03,64.4,Severely Delayed
Apparel,East Asia,Air,Manual,276.0,9611.9,11.0,23156.68,320.0,298.0,93.1,0.022,22.9,On Time
Electronics,Europe,Sea,Hybrid,791.0,5246.9,21.0,5819.89,1031.0,993.0,88.8,0.112,40.4,On Time
Electronics,Europe,Road,Automated,655.0,4854.9,2.0,9675.92,445.0,682.0,90.6,0.076,16.5,On Time
Industrial Equipment,North America,Road,Cross-Dock,152.0,3310.2,2.0,1912.14,71.0,120.0,93.5,0.024,9.7,Early
Perishable Food,East Asia,Air,Hybrid,676.0,10696.0,7.0,64111.75,790.0,899.0,93.6,0.026,18.4,On Time
Perishable Food,North America,Sea,Manual,495.0,3183.8,8.0,1993.13,464.0,495.0,81.5,0.126,32.8,Delayed
Furniture,East Asia,Air,Manual,246.0,10478.4,8.0,26324.83,288.0,317.0,78.6,0.145,20.9,On Time
Pharmaceuticals,Europe,Sea,Hybrid,222.0,5570.2,12.0,1500.63,199.0,237.0,79.7,0.091,32.6,On Time
Industrial Equipment,North America,Air,Hybrid,67.0,3096.5,5.0,2504.49,41.0,68.0,86.2,0.084,7.1,Early
Automotive Parts,East Asia,Air,Automated,278.0,11907.7,15.0,29150.19,169.0,313.0,79.7,0.045,28.9,On Time
Perishable Food,Southeast Asia,Air,Cross-Dock,837.0,9331.9,9.0,74550.11,1016.0,952.0,70.7,0.283,22.5,On Time
Apparel,Europe,Rail,Manual,1318.0,6141.4,14.0,18493.65,997.0,1321.0,90.5,0.032,31.6,On Time
Industrial Equipment,South Asia,Rail,Cross-Dock,46.0,6123.6,16.0,809.34,60.0,48.0,77.0,0.135,35.3,On Time
Furniture,Europe,Rail,Cross-Dock,75.0,7610.2,8.0,1260.34,69.0,83.0,88.0,0.083,29.0,On Time
Industrial Equipment,North America,Sea,Automated,38.0,4052.2,11.0,423.01,56.0,48.0,91.9,0.042,24.3,On Time
Electronics,East Asia,Sea,Manual,311.0,10593.0,20.0,3932.49,278.0,358.0,92.6,0.078,65.9,Severely Delayed
Automotive Parts,East Asia,Sea,Manual,869.0,9195.9,19.0,8353.89,509.0,730.0,84.2,0.085,56.9,Delayed
Furniture,Europe,Sea,Manual,62.0,5219.3,17.0,627.13,91.0,92.0,80.0,0.092,37.1,On Time
Electronics,Latin America,Road,Hybrid,215.0,8776.5,14.0,6667.07,283.0,211.0,67.2,0.106,49.2,Delayed
Pharmaceuticals,North America,Sea,Automated,666.0,4386.8,9.0,3346.26,450.0,706.0,84.8,0.117,24.9,On Time
Furniture,North America,Rail,Hybrid,71.0,2927.3,8.0,648.56,55.0,67.0,98.5,0.01,14.2,Early
Electronics,Europe,Sea,Cross-Dock,368.0,6555.5,16.0,2915.11,354.0,456.0,85.0,0.082,39.3,On Time
Perishable Food,North America,Sea,Cross-Dock,3010.0,4530.5,10.0,15583.43,3701.0,3319.0,83.8,0.033,25.5,On Time
Automotive Parts,East Asia,Sea,Automated,352.0,8979.8,22.0,3926.81,339.0,389.0,75.1,0.167,61.8,Delayed
Apparel,South Asia,Sea,Cross-Dock,2420.0,7034.8,24.0,20771.34,2806.0,2074.0,70.5,0.081,54.3,Delayed
Perishable Food,Southeast Asia,Road,Automated,475.0,6206.8,15.0,8812.02,474.0,496.0,72.3,0.191,38.9,Delayed
Perishable Food,Southeast Asia,Air,Manual,3502.0,9119.8,14.0,309341.61,4408.0,3471.0,71.4,0.19,28.6,Delayed
Apparel,Latin America,Sea,Automated,547.0,7626.9,21.0,5178.26,627.0,492.0,77.2,0.037,52.4,Delayed
Industrial Equipment,East Asia,Air,Hybrid,9.0,6841.6,9.0,1011.52,10.0,11.0,80.2,0.094,15.4,On Time
Automotive Parts,North America,Sea,Automated,72.0,2899.3,8.0,470.59,72.0,74.0,89.5,0.064,15.9,Early
Electronics,North America,Road,Automated,256.0,3631.3,4.0,3220.59,257.0,266.0,94.5,0.017,13.0,Early
Industrial Equipment,East Asia,Road,Manual,87.0,6798.0,19.0,2079.23,69.0,81.0,86.9,0.07,45.9,Delayed
Automotive Parts,East Asia,Sea,Cross-Dock,367.0,7130.3,25.0,3094.49,184.0,405.0,78.3,0.14,55.7,Delayed
Apparel,Europe,Sea,Hybrid,1521.0,7154.4,13.0,12972.71,1386.0,1464.0,95.2,0.022,39.8,Delayed
Automotive Parts,Europe,Air,Hybrid,561.0,6415.3,1.0,31119.71,,582.0,87.9,0.152,6.1,Early
Electronics,Europe,Road,Hybrid,294.0,5430.6,12.0,5492.58,318.0,404.0,84.5,0.057,31.3,On Time
Industrial Equipment,East Asia,Sea,Manual,82.0,8950.6,28.0,1071.4,96.0,99.0,87.5,0.097,76.6,Severely Delayed
Furniture,North America,Road,Automated,89.0,4595.0,1.0,1512.34,66.0,109.0,92.4,0.04,15.5,On Time
Furniture,East Asia,Sea,Automated,174.0,11691.8,26.0,2263.38,108.0,180.0,83.8,0.096,82.3,Severely Delayed
Electronics,East Asia,Sea,Manual,195.0,9316.3,25.0,1817.13,117.0,203.0,79.8,0.113,68.2,Severely Delayed
Industrial Equipment,North America,Sea,Cross-Dock,106.0,4014.2,14.0,679.71,50.0,94.0,90.0,0.032,35.1,Delayed
Electronics,South Asia,Road,Automated,321.0,7356.8,19.0,7721.19,273.0,300.0,69.6,0.214,50.0,Delayed
Apparel,Latin America,Sea,Hybrid,465.0,5989.7,24.0,3816.86,534.0,532.0,70.7,0.158,48.7,Delayed
Electronics,North America,Road,Hybrid,840.0,2269.5,6.0,6400.14,667.0,830.0,87.5,0.091,12.0,Early
Automotive Parts,East Asia,Sea,Cross-Dock,1246.0,7945.0,23.0,12441.27,859.0,1650.0,83.5,0.097,57.9,Delayed
Electronics,East Asia,Sea,Automated,421.0,6805.5,23.0,3611.38,421.0,543.0,91.2,0.073,50.9,Delayed
Industrial Equipment,Europe,Sea,Cross-Dock,56.0,6817.7,14.0,611.72,39.0,43.0,86.9,0.101,47.1,Delayed
Furniture,East Asia,Sea,Hybrid,96.0,8559.6,31.0,1171.65,84.0,108.0,86.7,0.061,70.4,Severely Delayed
Electronics,East Asia,Air,Manual,285.0,10227.3,13.0,25359.9,307.0,244.0,82.8,0.106,25.8,On Time
Electronics,South Asia,Road,Hybrid,20.0,7771.1,17.0,581.63,22.0,22.0,80.9,0.17,48.7,Delayed
Electronics,East Asia,Sea,Automated,566.0,10679.9,25.0,6937.71,748.0,645.0,92.2,0.061,75.8,Severely Delayed
Pharmaceuticals,North America,Sea,Hybrid,312.0,2913.7,10.0,1290.77,244.0,299.0,86.9,0.061,17.4,Early
Automotive Parts,North America,Sea,Hybrid,435.0,3824.9,13.0,1835.37,198.0,476.0,79.8,0.076,25.2,On Time
Apparel,East Asia,Air,Hybrid,1195.0,7866.2,11.0,79315.41,836.0,,74.5,0.124,20.7,On Time
Automotive Parts,Europe,Sea,Cross-Dock,164.0,7332.3,13.0,1520.61,228.0,184.0,93.9,0.014,40.8,Delayed
Electronics,South Asia,Air,Hybrid,48.0,8784.6,12.0,4203.21,40.0,46.0,75.9,0.128,23.5,On Time
Automotive Parts,North America,Sea,Automated,307.0,3955.6,9.0,1674.85,263.0,218.0,84.1,0.117,23.0,On Time
Industrial Equipment,East Asia,Road,Automated,119.0,9197.2,19.0,3422.93,124.0,105.0,91.6,0.027,55.6,Delayed
Automotive Parts,Europe,Road,Cross-Dock,460.0,7163.1,9.0,11068.65,597.0,601.0,86.1,0.113,34.3,Delayed
Furniture,South Asia,Road,Hybrid,111.0,5212.9,18.0,2273.78,146.0,126.0,71.8,0.095,37.9,On Time
Automotive Parts,North America,Sea,Cross-Dock,1280.0,2392.0,13.0,3636.39,1317.0,1504.0,88.2,0.12,21.6,Early
